distance_m_mean,distance_m_max,distance_m_std,location-lat_count,rows,M2_ACC,M30_ACC,M60_ACC,AgeInMonths,sampleFreq,epochLength,breed_enc,sex_enc,neuter_enc,species
62.10228469010318,62.10228469010318,,1.0,14.0,1.1310119215,0.5704415814999999,0.4231754405,8.0,9.5,10.0,-1.0,-1.0,-1.0,0.0
104.99015016759314,104.99015016759314,,1.0,14.0,1.1310119215,0.5704415814999999,0.4231754405,8.0,9.5,10.0,-1.0,-1.0,-1.0,0.0
15.3099007004067,15.3099007004067,,1.0,14.0,1.1310119215,0.5704415814999999,0.4231754405,8.0,9.5,10.0,-1.0,-1.0,-1.0,0.0
151.4410534926533,151.4410534926533,,1.0,14.0,1.1310119215,0.5704415814999999,0.4231754405,8.0,9.5,10.0,-1.0,-1.0,-1.0,0.0
259.3977348810692,259.3977348810692,,1.0,14.0,1.1310119215,0.5704415814999999,0.4231754405,8.0,9.5,10.0,-1.0,-1.0,-1.0,0.0
168.89680628122557,168.89680628122557,,1.0,14.0,1.1310119215,0.5704415814999999,0.4231754405,8.0,9.5,10.0,-1.0,-1.0,-1.0,0.0
239.22675385194185,239.22675385194185,,1.0,14.0,1.1310119215,0.5704415814999999,0.4231754405,8.0,9.5,10.0,-1.0,-1.0,-1.0,0.0
291.9353420635257,291.9353420635257,,1.0,14.0,1.1310119215,0.5704415814999999,0.4231754405,8.0,9.5,10.0,-1.0,-1.0,-1.0,0.0
211.9030222610754,211.9030222610754,,1.0,14.0,1.1310119215,0.5704415814999999,0.4231754405,8.0,9.5,10.0,-1.0,-1.0,-1.0,0.0
1108.7641514331851,1108.7641514331851,,1.0,14.0,1.1310119215,0.5704415814999999,0.4231754405,8.0,9.5,10.0,-1.0,-1.0,-1.0,0.0
307.30745339053726,307.30745339053726,,1.0,14.0,1.1310119215,0.5704415814999999,0.4231754405,8.0,9.5,10.0,-1.0,-1.0,-1.0,0.0
677.7015621735788,677.7015621735788,,1.0,14.0,1.1310119215,0.5704415814999999,0.4231754405,8.0,9.5,10.0,-1.0,-1.0,-1.0,0.0
747.8944880993638,747.8944880993638,,1.0,14.0,1.1310119215,0.5704415814999999,0.4231754405,8.0,9.5,10.0,-1.0,-1.0,-1.0,0.0
300.885826705541,300.885826705541,,1.0,14.0,1.1310119215,0.5704415814999999,0.4231754405,8.0,9.5,10.0,-1.0,-1.0,-1.0,0.0
41.98020420852505,41.98020420852505,,1.0,14.0,1.1310119215,0.5704415814999999,0.4231754405,8.0,9.5,10.0,-1.0,-1.0,-1.0,0.0
448.9872907763056,448.9872907763056,,1.0,14.0,1.1310119215,0.5704415814999999,0.4231754405,8.0,9.5,10.0,-1.0,-1.0,-1.0,0.0
454.2743357398024,454.2743357398024,,1.0,14.0,1.1310119215,0.5704415814999999,0.4231754405,8.0,9.5,10.0,-1.0,-1.0,-1.0,0.0
526.0162696949244,526.0162696949244,,1.0,14.0,1.1310119215,0.5704415814999999,0.4231754405,8.0,9.5,10.0,-1.0,-1.0,-1.0,0.0
587.0924035484883,587.0924035484883,,1.0,14.0,1.1310119215,0.5704415814999999,0.4231754405,8.0,9.5,10.0,-1.0,-1.0,-1.0,0.0
273.6016450520829,273.6016450520829,,1.0,14.0,1.1310119215,0.5704415814999999,0.4231754405,8.0,9.5,10.0,-1.0,-1.0,-1.0,0.0
3.5709787099735917,3.559905441931366,,1.0,14.0,1.1310119215,0.5704415814999999,0.4231754405,8.0,9.5,10.0,-1.0,-1.0,-1.0,0.0
217.59621066397744,217.59621066397744,,1.0,14.0,1.1310119215,0.5704415814999999,0.4231754405,8.0,9.5,10.0,-1.0,-1.0,-1.0,0.0
589.4448905037783,589.4448905037783,,1.0,14.0,1.1310119215,0.5704415814999999,0.4231754405,8.0,9.5,10.0,-1.0,-1.0,-1.0,0.0
198.21010351848145,198.21010351848145,,1.0,14.0,1.1310119215,0.5704415814999999,0.4231754405,8.0,9.5,10.0,-1.0,-1.0,-1.0,0.0
86.80699793889721,86.80699793889721,,1.0,14.0,1.1310119215,0.5704415814999999,0.4231754405,8.0,9.5,10.0,-1.0,-1.0,-1.0,0.0
120.27887745064552,120.27887745064552,,1.0,14.0,1.1310119215,0.5704415814999999,0.4231754405,8.0,9.5,10.0,-1.0,-1.0,-1.0,0.0
341.26611303777486,341.26611303777486,,1.0,14.0,1.1310119215,0.5704415814999999,0.4231754405,8.0,9.5,10.0,-1.0,-1.0,-1.0,0.0
117.18304876365951,117.18304876365951,,1.0,14.0,1.1310119215,0.5704415814999999,0.4231754405,8.0,9.5,10.0,-1.0,-1.0,-1.0,0.0
359.41201761579373,359.41201761579373,,1.0,14.0,1.1310119215,0.5704415814999999,0.4231754405,8.0,9.5,10.0,-1.0,-1.0,-1.0,0.0
